,start_sensing_time,stop_sensing_time,datetime_rounded,lat,lon
0,20160901T175400Z,20160901T193558.125000Z,2016-09-01 18:00:00,10.050801666666667,-125.03231666666667
1,20160902T040600Z,20160902T054758.125000Z,2016-09-02 04:00:00,10.050801666666667,-125.03231666666667
2,20160902T040600Z,20160902T054758.125000Z,2016-09-02 05:00:00,10.050801666666667,-125.03231666666667
3,20160902T045400Z,20160902T063558.125000Z,2016-09-02 06:00:00,10.050801666666667,-125.03231666666667
4,20160903T171200Z,20160903T185358.125000Z,2016-09-03 17:00:00,10.050801666666667,-125.03231666666667
5,20160903T171200Z,20160903T185358.125000Z,2016-09-03 18:00:00,10.050801666666667,-125.03231666666667
6,20160903T171200Z,20160903T185358.125000Z,2016-09-03 19:00:00,10.050801666666667,-125.03231666666667
7,20160904T041200Z,20160904T055358.125000Z,2016-09-04 04:00:00,10.050801666666667,-125.03231666666667
8,20160904T041200Z,20160904T055358.125000Z,2016-09-04 05:00:00,10.050801666666667,-125.03231666666667
9,20160904T041200Z,20160904T055358.125000Z,2016-09-04 06:00:00,10.050801666666667,-125.03231666666667
10,20160905T044500Z,20160905T062658.125000Z,2016-09-05 05:00:00,10.050801666666667,-125.03231666666667
11,20160905T044500Z,20160905T062658.125000Z,2016-09-05 06:00:00,10.050801666666667,-125.03231666666667
12,20160905T171800Z,20160905T185658.125000Z,2016-09-05 18:00:00,10.050801666666667,-125.03231666666667
13,20160905T171800Z,20160905T185658.125000Z,2016-09-05 19:00:00,10.050801666666667,-125.03231666666667
14,20160906T175100Z,20160906T193258.125000Z,2016-09-06 19:00:00,10.050801666666667,-125.03231666666667
15,20160907T040300Z,20160907T054458.125000Z,2016-09-07 04:00:00,10.050801666666667,-125.03231666666667
16,20160907T040300Z,20160907T054458.125000Z,2016-09-07 05:00:00,10.050801666666667,-125.03231666666667
17,20160907T045100Z,20160907T063258.125000Z,2016-09-07 06:00:00,10.050801666666667,-125.03231666666667
18,20160908T170900Z,20160908T185058.125000Z,2016-09-08 17:00:00,10.050801666666667,-125.03231666666667
19,20160908T170900Z,20160908T185058.125000Z,2016-09-08 18:00:00,10.050801666666667,-125.03231666666667
20,20160908T170900Z,20160908T185058.125000Z,2016-09-08 19:00:00,10.050801666666667,-125.03231666666667
21,20160909T040900Z,20160909T055058.125000Z,2016-09-09 04:00:00,10.050801666666667,-125.03231666666667
22,20160909T040900Z,20160909T055058.125000Z,2016-09-09 05:00:00,10.050801666666667,-125.03231666666667
