,start_sensing_time,stop_sensing_time,datetime_rounded,lat,lon
0,20160518T032700Z,20160518T050858.125000Z,2016-05-18 03:00:00,44.6393,-124.304
1,20160518T032700Z,20160518T050858.125000Z,2016-05-18 04:00:00,44.6393,-124.304
2,20160518T032700Z,20160518T050858.125000Z,2016-05-18 05:00:00,44.6393,-124.304
3,20160518T041800Z,20160518T060258.125000Z,2016-05-18 06:00:00,44.6393,-124.304
4,20160518T174500Z,20160518T192658.125000Z,2016-05-18 18:00:00,44.6393,-124.304
5,20160518T174500Z,20160518T192658.125000Z,2016-05-18 19:00:00,44.6393,-124.304
6,20160519T030600Z,20160519T044758.125000Z,2016-05-19 03:00:00,44.6393,-124.304
7,20160519T030600Z,20160519T044758.125000Z,2016-05-19 04:00:00,44.6393,-124.304
8,20160519T172400Z,20160519T190558.125000Z,2016-05-19 17:00:00,44.6393,-124.304
9,20160519T172400Z,20160519T190558.125000Z,2016-05-19 19:00:00,44.6393,-124.304
10,20160521T031500Z,20160521T045658.125000Z,2016-05-21 03:00:00,44.6393,-124.304
11,20160521T031500Z,20160521T045658.125000Z,2016-05-21 04:00:00,44.6393,-124.304
12,20160521T173300Z,20160521T191158.125000Z,2016-05-21 18:00:00,44.6393,-124.304
13,20160521T173300Z,20160521T191158.125000Z,2016-05-21 19:00:00,44.6393,-124.304
14,20160522T185100Z,20160522T203258.125000Z,2016-05-22 19:00:00,44.6393,-124.304
15,20160522T185100Z,20160522T203258.125000Z,2016-05-22 20:00:00,44.6393,-124.304
16,20160523T032100Z,20160523T050558.125000Z,2016-05-23 03:00:00,44.6393,-124.304
17,20160523T032100Z,20160523T050558.125000Z,2016-05-23 04:00:00,44.6393,-124.304
18,20160523T032100Z,20160523T050558.125000Z,2016-05-23 05:00:00,44.6393,-124.304
19,20160523T041500Z,20160523T055658.125000Z,2016-05-23 06:00:00,44.6393,-124.304
20,20160523T174200Z,20160523T192358.125000Z,2016-05-23 18:00:00,44.6393,-124.304
21,20160523T174200Z,20160523T192358.125000Z,2016-05-23 19:00:00,44.6393,-124.304
22,20160523T183000Z,20160523T201158.125000Z,2016-05-23 20:00:00,44.6393,-124.304
23,20160524T030000Z,20160524T044458.125000Z,2016-05-24 03:00:00,44.6393,-124.304
24,20160525T042400Z,20160525T060558.125000Z,2016-05-25 04:00:00,44.6393,-124.304
