,start_sensing_time,stop_sensing_time,datetime_rounded,lat,lon
0,20180403T030600Z,20180403T044758.125000Z,2018-04-03 03:00:00,44.6393,-124.304
1,20180403T030600Z,20180403T044758.125000Z,2018-04-03 04:00:00,44.6393,-124.304
2,20180404T042700Z,20180404T060858.125000Z,2018-04-04 05:00:00,44.6393,-124.304
3,20180404T042700Z,20180404T060858.125000Z,2018-04-04 06:00:00,44.6393,-124.304
4,20180404T175400Z,20180404T193258.125000Z,2018-04-04 18:00:00,44.6393,-124.304
5,20180404T175400Z,20180404T193258.125000Z,2018-04-04 19:00:00,44.6393,-124.304
6,20180405T030600Z,20180405T044758.125000Z,2018-04-05 03:00:00,44.6393,-124.304
7,20180405T030600Z,20180405T044758.125000Z,2018-04-05 04:00:00,44.6393,-124.304
8,20180405T173300Z,20180405T191158.125000Z,2018-04-05 18:00:00,44.6393,-124.304
9,20180405T173300Z,20180405T191158.125000Z,2018-04-05 19:00:00,44.6393,-124.304
10,20180406T185100Z,20180406T203258.125000Z,2018-04-06 20:00:00,44.6393,-124.304
11,20180407T032100Z,20180407T050558.125000Z,2018-04-07 03:00:00,44.6393,-124.304
12,20180407T173300Z,20180407T191158.125000Z,2018-04-07 18:00:00,44.6393,-124.304
13,20180407T173300Z,20180407T191158.125000Z,2018-04-07 19:00:00,44.6393,-124.304
14,20180408T185100Z,20180408T203258.125000Z,2018-04-08 19:00:00,44.6393,-124.304
15,20180408T185100Z,20180408T203258.125000Z,2018-04-08 20:00:00,44.6393,-124.304
16,20180409T032400Z,20180409T050558.125000Z,2018-04-09 03:00:00,44.6393,-124.304
17,20180409T032400Z,20180409T050558.125000Z,2018-04-09 04:00:00,44.6393,-124.304
18,20180409T032400Z,20180409T050558.125000Z,2018-04-09 05:00:00,44.6393,-124.304
19,20180409T042400Z,20180409T060558.125000Z,2018-04-09 06:00:00,44.6393,-124.304
20,20180409T174800Z,20180409T192958.125000Z,2018-04-09 18:00:00,44.6393,-124.304
21,20180409T174800Z,20180409T192958.125000Z,2018-04-09 19:00:00,44.6393,-124.304
22,20180409T183000Z,20180409T201158.125000Z,2018-04-09 20:00:00,44.6393,-124.304
23,20180410T030000Z,20180410T044458.125000Z,2018-04-10 03:00:00,44.6393,-124.304
24,20180410T030000Z,20180410T044458.125000Z,2018-04-10 04:00:00,44.6393,-124.304
25,20180410T173000Z,20180410T190858.125000Z,2018-04-10 17:00:00,44.6393,-124.304
26,20180410T173000Z,20180410T190858.125000Z,2018-04-10 18:00:00,44.6393,-124.304
27,20180410T173000Z,20180410T190858.125000Z,2018-04-10 19:00:00,44.6393,-124.304
28,20180411T042400Z,20180411T060558.125000Z,2018-04-11 04:00:00,44.6393,-124.304
29,20180411T042400Z,20180411T060558.125000Z,2018-04-11 05:00:00,44.6393,-124.304
30,20180411T042400Z,20180411T060558.125000Z,2018-04-11 06:00:00,44.6393,-124.304
31,20180411T184800Z,20180411T202958.125000Z,2018-04-11 20:00:00,44.6393,-124.304
32,20180412T031800Z,20180412T050258.125000Z,2018-04-12 04:00:00,44.6393,-124.304
33,20180412T031800Z,20180412T050258.125000Z,2018-04-12 05:00:00,44.6393,-124.304
34,20180412T173000Z,20180412T190858.125000Z,2018-04-12 18:00:00,44.6393,-124.304
35,20180412T173000Z,20180412T190858.125000Z,2018-04-12 19:00:00,44.6393,-124.304
36,20180413T184800Z,20180413T202958.125000Z,2018-04-13 19:00:00,44.6393,-124.304
37,20180414T031800Z,20180414T050258.125000Z,2018-04-14 03:00:00,44.6393,-124.304
38,20180414T031800Z,20180414T050258.125000Z,2018-04-14 04:00:00,44.6393,-124.304
39,20180414T031800Z,20180414T050258.125000Z,2018-04-14 05:00:00,44.6393,-124.304
40,20180414T041800Z,20180414T060258.125000Z,2018-04-14 06:00:00,44.6393,-124.304
41,20180414T174500Z,20180414T192658.125000Z,2018-04-14 18:00:00,44.6393,-124.304
42,20180414T174500Z,20180414T192658.125000Z,2018-04-14 19:00:00,44.6393,-124.304
43,20180414T182700Z,20180414T200858.125000Z,2018-04-14 20:00:00,44.6393,-124.304
44,20180416T041800Z,20180416T060258.125000Z,2018-04-16 05:00:00,44.6393,-124.304
45,20180416T041800Z,20180416T060258.125000Z,2018-04-16 06:00:00,44.6393,-124.304
46,20180416T174500Z,20180416T192658.125000Z,2018-04-16 18:00:00,44.6393,-124.304
47,20180416T174500Z,20180416T192658.125000Z,2018-04-16 19:00:00,44.6393,-124.304
48,20180416T184500Z,20180416T202658.125000Z,2018-04-16 20:00:00,44.6393,-124.304
49,20180417T031500Z,20180417T045658.125000Z,2018-04-17 03:00:00,44.6393,-124.304
50,20180417T031500Z,20180417T045658.125000Z,2018-04-17 04:00:00,44.6393,-124.304
51,20180417T031500Z,20180417T045658.125000Z,2018-04-17 05:00:00,44.6393,-124.304
52,20180417T172400Z,20180417T190558.125000Z,2018-04-17 17:00:00,44.6393,-124.304
53,20180417T172400Z,20180417T190558.125000Z,2018-04-17 18:00:00,44.6393,-124.304
54,20180417T172400Z,20180417T190558.125000Z,2018-04-17 19:00:00,44.6393,-124.304
55,20180418T184500Z,20180418T202658.125000Z,2018-04-18 19:00:00,44.6393,-124.304
56,20180418T184500Z,20180418T202658.125000Z,2018-04-18 20:00:00,44.6393,-124.304
57,20180419T031500Z,20180419T045658.125000Z,2018-04-19 03:00:00,44.6393,-124.304
58,20180419T031500Z,20180419T045658.125000Z,2018-04-19 04:00:00,44.6393,-124.304
59,20180419T031500Z,20180419T045658.125000Z,2018-04-19 05:00:00,44.6393,-124.304
60,20180419T041500Z,20180419T055658.125000Z,2018-04-19 06:00:00,44.6393,-124.304
61,20180419T174200Z,20180419T192358.125000Z,2018-04-19 18:00:00,44.6393,-124.304
62,20180419T174200Z,20180419T192358.125000Z,2018-04-19 19:00:00,44.6393,-124.304
63,20180419T182400Z,20180419T200558.125000Z,2018-04-19 20:00:00,44.6393,-124.304
64,20180420T025400Z,20180420T043558.125000Z,2018-04-20 03:00:00,44.6393,-124.304
65,20180420T025400Z,20180420T043558.125000Z,2018-04-20 04:00:00,44.6393,-124.304
66,20180421T041500Z,20180421T055658.125000Z,2018-04-21 04:00:00,44.6393,-124.304
67,20180421T041500Z,20180421T055658.125000Z,2018-04-21 05:00:00,44.6393,-124.304
68,20180421T041500Z,20180421T055658.125000Z,2018-04-21 06:00:00,44.6393,-124.304
69,20180421T174200Z,20180421T192358.125000Z,2018-04-21 18:00:00,44.6393,-124.304
70,20180421T174200Z,20180421T192358.125000Z,2018-04-21 19:00:00,44.6393,-124.304
71,20180421T184200Z,20180421T202058.125000Z,2018-04-21 20:00:00,44.6393,-124.304
72,20180422T031200Z,20180422T045358.125000Z,2018-04-22 03:00:00,44.6393,-124.304
73,20180422T031200Z,20180422T045358.125000Z,2018-04-22 04:00:00,44.6393,-124.304
74,20180422T031200Z,20180422T045358.125000Z,2018-04-22 05:00:00,44.6393,-124.304
75,20180422T172100Z,20180422T190258.125000Z,2018-04-22 17:00:00,44.6393,-124.304
76,20180422T172100Z,20180422T190258.125000Z,2018-04-22 18:00:00,44.6393,-124.304
77,20180422T172100Z,20180422T190258.125000Z,2018-04-22 19:00:00,44.6393,-124.304
78,20180423T043300Z,20180423T061458.125000Z,2018-04-23 05:00:00,44.6393,-124.304
79,20180423T043300Z,20180423T061458.125000Z,2018-04-23 06:00:00,44.6393,-124.304
80,20180423T184200Z,20180423T202058.125000Z,2018-04-23 20:00:00,44.6393,-124.304
81,20180424T031200Z,20180424T045358.125000Z,2018-04-24 03:00:00,44.6393,-124.304
82,20180424T031200Z,20180424T045358.125000Z,2018-04-24 04:00:00,44.6393,-124.304
83,20180424T041200Z,20180424T055358.125000Z,2018-04-24 06:00:00,44.6393,-124.304
84,20180424T173900Z,20180424T192058.125000Z,2018-04-24 18:00:00,44.6393,-124.304
85,20180426T033000Z,20180426T051158.125000Z,2018-04-26 03:00:00,44.6393,-124.304
86,20180426T033000Z,20180426T051158.125000Z,2018-04-26 05:00:00,44.6393,-124.304
87,20180426T041200Z,20180426T055358.125000Z,2018-04-26 06:00:00,44.6393,-124.304
88,20180426T173900Z,20180426T192058.125000Z,2018-04-26 18:00:00,44.6393,-124.304
89,20180426T173900Z,20180426T192058.125000Z,2018-04-26 19:00:00,44.6393,-124.304
90,20180427T030900Z,20180427T045058.125000Z,2018-04-27 04:00:00,44.6393,-124.304
91,20180427T030900Z,20180427T045058.125000Z,2018-04-27 05:00:00,44.6393,-124.304
92,20180427T171800Z,20180427T185958.125000Z,2018-04-27 17:00:00,44.6393,-124.304
93,20180427T171800Z,20180427T185958.125000Z,2018-04-27 18:00:00,44.6393,-124.304
94,20180428T043000Z,20180428T061158.125000Z,2018-04-28 04:00:00,44.6393,-124.304
95,20180428T043000Z,20180428T061158.125000Z,2018-04-28 05:00:00,44.6393,-124.304
96,20180428T043000Z,20180428T061158.125000Z,2018-04-28 06:00:00,44.6393,-124.304
97,20180428T183900Z,20180428T201758.125000Z,2018-04-28 19:00:00,44.6393,-124.304
98,20180428T183900Z,20180428T201758.125000Z,2018-04-28 20:00:00,44.6393,-124.304
99,20180429T030900Z,20180429T045058.125000Z,2018-04-29 04:00:00,44.6393,-124.304
100,20180429T030900Z,20180429T045058.125000Z,2018-04-29 05:00:00,44.6393,-124.304
101,20180429T173600Z,20180429T191458.125000Z,2018-04-29 18:00:00,44.6393,-124.304
102,20180430T185400Z,20180430T203558.125000Z,2018-04-30 19:00:00,44.6393,-124.304
103,20180430T185400Z,20180430T203558.125000Z,2018-04-30 20:00:00,44.6393,-124.304
104,20180501T032700Z,20180501T050858.125000Z,2018-05-01 03:00:00,44.6393,-124.304
105,20180501T032700Z,20180501T050858.125000Z,2018-05-01 04:00:00,44.6393,-124.304
106,20180501T032700Z,20180501T050858.125000Z,2018-05-01 05:00:00,44.6393,-124.304
107,20180501T040900Z,20180501T055058.125000Z,2018-05-01 06:00:00,44.6393,-124.304
108,20180501T173600Z,20180501T191458.125000Z,2018-05-01 18:00:00,44.6393,-124.304
109,20180501T173600Z,20180501T191458.125000Z,2018-05-01 19:00:00,44.6393,-124.304
110,20180501T183300Z,20180501T201458.125000Z,2018-05-01 20:00:00,44.6393,-124.304
111,20180502T030300Z,20180502T044758.125000Z,2018-05-02 03:00:00,44.6393,-124.304
112,20180502T030300Z,20180502T044758.125000Z,2018-05-02 04:00:00,44.6393,-124.304
113,20180503T042700Z,20180503T060858.125000Z,2018-05-03 04:00:00,44.6393,-124.304
114,20180503T042700Z,20180503T060858.125000Z,2018-05-03 05:00:00,44.6393,-124.304
115,20180503T042700Z,20180503T060858.125000Z,2018-05-03 06:00:00,44.6393,-124.304
116,20180503T175400Z,20180503T193258.125000Z,2018-05-03 19:00:00,44.6393,-124.304
117,20180503T183300Z,20180503T201458.125000Z,2018-05-03 20:00:00,44.6393,-124.304
118,20180504T173300Z,20180504T191158.125000Z,2018-05-04 18:00:00,44.6393,-124.304
119,20180504T173300Z,20180504T191158.125000Z,2018-05-04 19:00:00,44.6393,-124.304
120,20180505T042700Z,20180505T060858.125000Z,2018-05-05 04:00:00,44.6393,-124.304
121,20180505T042700Z,20180505T060858.125000Z,2018-05-05 05:00:00,44.6393,-124.304
122,20180505T042700Z,20180505T060858.125000Z,2018-05-05 06:00:00,44.6393,-124.304
123,20180506T032100Z,20180506T050558.125000Z,2018-05-06 03:00:00,44.6393,-124.304
124,20180506T032100Z,20180506T050558.125000Z,2018-05-06 04:00:00,44.6393,-124.304
125,20180506T173300Z,20180506T191158.125000Z,2018-05-06 18:00:00,44.6393,-124.304
126,20180506T173300Z,20180506T191158.125000Z,2018-05-06 19:00:00,44.6393,-124.304
127,20180507T030000Z,20180507T044458.125000Z,2018-05-07 04:00:00,44.6393,-124.304
128,20180507T185100Z,20180507T203258.125000Z,2018-05-07 20:00:00,44.6393,-124.304
129,20180508T032100Z,20180508T050558.125000Z,2018-05-08 03:00:00,44.6393,-124.304
130,20180508T032100Z,20180508T050558.125000Z,2018-05-08 04:00:00,44.6393,-124.304
131,20180508T032100Z,20180508T050558.125000Z,2018-05-08 05:00:00,44.6393,-124.304
132,20180508T183000Z,20180508T201158.125000Z,2018-05-08 20:00:00,44.6393,-124.304
133,20180509T030000Z,20180509T044458.125000Z,2018-05-09 03:00:00,44.6393,-124.304
134,20180509T030000Z,20180509T044458.125000Z,2018-05-09 04:00:00,44.6393,-124.304
135,20180509T172700Z,20180509T190858.125000Z,2018-05-09 17:00:00,44.6393,-124.304
136,20180509T172700Z,20180509T190858.125000Z,2018-05-09 18:00:00,44.6393,-124.304
137,20180509T172700Z,20180509T190858.125000Z,2018-05-09 19:00:00,44.6393,-124.304
138,20180510T042100Z,20180510T060558.125000Z,2018-05-10 04:00:00,44.6393,-124.304
139,20180510T042100Z,20180510T060558.125000Z,2018-05-10 05:00:00,44.6393,-124.304
140,20180510T184800Z,20180510T202958.125000Z,2018-05-10 19:00:00,44.6393,-124.304
141,20180510T184800Z,20180510T202958.125000Z,2018-05-10 20:00:00,44.6393,-124.304
142,20180511T031800Z,20180511T045958.125000Z,2018-05-11 03:00:00,44.6393,-124.304
143,20180511T031800Z,20180511T045958.125000Z,2018-05-11 04:00:00,44.6393,-124.304
144,20180511T031800Z,20180511T045958.125000Z,2018-05-11 05:00:00,44.6393,-124.304
145,20180511T172700Z,20180511T190858.125000Z,2018-05-11 17:00:00,44.6393,-124.304
146,20180511T172700Z,20180511T190858.125000Z,2018-05-11 18:00:00,44.6393,-124.304
147,20180511T172700Z,20180511T190858.125000Z,2018-05-11 19:00:00,44.6393,-124.304
148,20180512T184800Z,20180512T202958.125000Z,2018-05-12 20:00:00,44.6393,-124.304
149,20180513T031800Z,20180513T045958.125000Z,2018-05-13 03:00:00,44.6393,-124.304
150,20180513T031800Z,20180513T045958.125000Z,2018-05-13 04:00:00,44.6393,-124.304
151,20180513T031800Z,20180513T045958.125000Z,2018-05-13 05:00:00,44.6393,-124.304
152,20180513T041800Z,20180513T055958.125000Z,2018-05-13 06:00:00,44.6393,-124.304
153,20180513T174500Z,20180513T192658.125000Z,2018-05-13 18:00:00,44.6393,-124.304
154,20180514T025700Z,20180514T043858.125000Z,2018-05-14 03:00:00,44.6393,-124.304
155,20180514T025700Z,20180514T043858.125000Z,2018-05-14 04:00:00,44.6393,-124.304
156,20180514T172400Z,20180514T190558.125000Z,2018-05-14 17:00:00,44.6393,-124.304
157,20180514T172400Z,20180514T190558.125000Z,2018-05-14 18:00:00,44.6393,-124.304
158,20180514T172400Z,20180514T190558.125000Z,2018-05-14 19:00:00,44.6393,-124.304
159,20180515T041800Z,20180515T055958.125000Z,2018-05-15 04:00:00,44.6393,-124.304
160,20180515T041800Z,20180515T055958.125000Z,2018-05-15 05:00:00,44.6393,-124.304
161,20180515T041800Z,20180515T055958.125000Z,2018-05-15 06:00:00,44.6393,-124.304
162,20180515T174500Z,20180515T192658.125000Z,2018-05-15 18:00:00,44.6393,-124.304
163,20180515T174500Z,20180515T192658.125000Z,2018-05-15 19:00:00,44.6393,-124.304
164,20180515T184500Z,20180515T202358.125000Z,2018-05-15 20:00:00,44.6393,-124.304
165,20180516T031500Z,20180516T045658.125000Z,2018-05-16 03:00:00,44.6393,-124.304
166,20180516T031500Z,20180516T045658.125000Z,2018-05-16 04:00:00,44.6393,-124.304
167,20180516T031500Z,20180516T045658.125000Z,2018-05-16 05:00:00,44.6393,-124.304
168,20180516T172400Z,20180516T190558.125000Z,2018-05-16 17:00:00,44.6393,-124.304
169,20180516T172400Z,20180516T190558.125000Z,2018-05-16 19:00:00,44.6393,-124.304
170,20180517T184500Z,20180517T202358.125000Z,2018-05-17 19:00:00,44.6393,-124.304
171,20180517T184500Z,20180517T202358.125000Z,2018-05-17 20:00:00,44.6393,-124.304
172,20180518T031500Z,20180518T045658.125000Z,2018-05-18 03:00:00,44.6393,-124.304
173,20180518T031500Z,20180518T045658.125000Z,2018-05-18 04:00:00,44.6393,-124.304
174,20180518T031500Z,20180518T045658.125000Z,2018-05-18 05:00:00,44.6393,-124.304
175,20180518T041500Z,20180518T055658.125000Z,2018-05-18 06:00:00,44.6393,-124.304
176,20180518T174200Z,20180518T192358.125000Z,2018-05-18 18:00:00,44.6393,-124.304
177,20180518T182400Z,20180518T200258.125000Z,2018-05-18 20:00:00,44.6393,-124.304
178,20180519T025400Z,20180519T043558.125000Z,2018-05-19 03:00:00,44.6393,-124.304
179,20180519T025400Z,20180519T043558.125000Z,2018-05-19 04:00:00,44.6393,-124.304
180,20180520T041500Z,20180520T055658.125000Z,2018-05-20 04:00:00,44.6393,-124.304
181,20180520T041500Z,20180520T055658.125000Z,2018-05-20 05:00:00,44.6393,-124.304
182,20180520T041500Z,20180520T055658.125000Z,2018-05-20 06:00:00,44.6393,-124.304
183,20180520T174200Z,20180520T192058.125000Z,2018-05-20 18:00:00,44.6393,-124.304
184,20180520T184200Z,20180520T202058.125000Z,2018-05-20 20:00:00,44.6393,-124.304
185,20180521T031200Z,20180521T045358.125000Z,2018-05-21 03:00:00,44.6393,-124.304
186,20180521T031200Z,20180521T045358.125000Z,2018-05-21 04:00:00,44.6393,-124.304
187,20180521T031200Z,20180521T045358.125000Z,2018-05-21 05:00:00,44.6393,-124.304
188,20180521T172100Z,20180521T190258.125000Z,2018-05-21 17:00:00,44.6393,-124.304
189,20180521T172100Z,20180521T190258.125000Z,2018-05-21 18:00:00,44.6393,-124.304
190,20180521T172100Z,20180521T190258.125000Z,2018-05-21 19:00:00,44.6393,-124.304
