,start_sensing_time,stop_sensing_time,datetime_rounded,lat,lon
0,20160710T220000Z,20160710T234158.125000Z,2016-07-10 22:00:00,59.9337,-39.47378
1,20160710T220000Z,20160710T234158.125000Z,2016-07-10 23:00:00,59.9337,-39.47378
2,20160711T123000Z,20160711T140858.125000Z,2016-07-11 12:00:00,59.9337,-39.47378
3,20160711T123000Z,20160711T140858.125000Z,2016-07-11 13:00:00,59.9337,-39.47378
4,20160711T123000Z,20160711T140858.125000Z,2016-07-11 14:00:00,59.9337,-39.47378
5,20160711T140900Z,20160711T154758.125000Z,2016-07-11 15:00:00,59.9337,-39.47378
6,20160711T205100Z,20160711T223258.125000Z,2016-07-11 21:00:00,59.9337,-39.47378
7,20160711T205100Z,20160711T223258.125000Z,2016-07-11 22:00:00,59.9337,-39.47378
8,20160712T120900Z,20160712T134758.125000Z,2016-07-12 12:00:00,59.9337,-39.47378
9,20160712T120900Z,20160712T134758.125000Z,2016-07-12 13:00:00,59.9337,-39.47378
10,20160712T134800Z,20160712T152658.125000Z,2016-07-12 14:00:00,59.9337,-39.47378
11,20160712T134800Z,20160712T152658.125000Z,2016-07-12 15:00:00,59.9337,-39.47378
12,20160712T203000Z,20160712T221158.125000Z,2016-07-12 20:00:00,59.9337,-39.47378
13,20160712T203000Z,20160712T221158.125000Z,2016-07-12 21:00:00,59.9337,-39.47378
14,20160712T203000Z,20160712T221158.125000Z,2016-07-12 22:00:00,59.9337,-39.47378
15,20160712T221200Z,20160712T235358.125000Z,2016-07-12 23:00:00,59.9337,-39.47378
16,20160712T221200Z,20160712T235358.125000Z,2016-07-13 00:00:00,59.9337,-39.47378
17,20160713T123600Z,20160713T141458.125000Z,2016-07-13 13:00:00,59.9337,-39.47378
18,20160713T123600Z,20160713T141458.125000Z,2016-07-13 14:00:00,59.9337,-39.47378
19,20160713T205700Z,20160713T223858.125000Z,2016-07-13 21:00:00,59.9337,-39.47378
20,20160713T205700Z,20160713T223858.125000Z,2016-07-13 22:00:00,59.9337,-39.47378
21,20160713T223900Z,20160714T002058.125000Z,2016-07-13 23:00:00,59.9337,-39.47378
22,20160713T223900Z,20160714T002058.125000Z,2016-07-14 00:00:00,59.9337,-39.47378
23,20160714T121500Z,20160714T135358.125000Z,2016-07-14 12:00:00,59.9337,-39.47378
24,20160714T121500Z,20160714T135358.125000Z,2016-07-14 13:00:00,59.9337,-39.47378
25,20160714T121500Z,20160714T135358.125000Z,2016-07-14 14:00:00,59.9337,-39.47378
26,20160714T135400Z,20160714T153258.125000Z,2016-07-14 15:00:00,59.9337,-39.47378
27,20160714T203600Z,20160714T221758.125000Z,2016-07-14 21:00:00,59.9337,-39.47378
28,20160714T203600Z,20160714T221758.125000Z,2016-07-14 22:00:00,59.9337,-39.47378
29,20160714T221800Z,20160714T235958.125000Z,2016-07-14 23:00:00,59.9337,-39.47378
30,20160714T221800Z,20160714T235958.125000Z,2016-07-15 00:00:00,59.9337,-39.47378
31,20160715T133300Z,20160715T151458.125000Z,2016-07-15 14:00:00,59.9337,-39.47378
32,20160715T133300Z,20160715T151458.125000Z,2016-07-15 15:00:00,59.9337,-39.47378
33,20160715T210900Z,20160715T225058.125000Z,2016-07-15 21:00:00,59.9337,-39.47378
