,start_sensing_time,stop_sensing_time,datetime_rounded,lat,lon
0,20180923T040300Z,20180923T054458.125000Z,2018-09-23 05:00:00,44.6393,-124.304
1,20180923T173000Z,20180923T191158.125000Z,2018-09-23 17:00:00,44.6393,-124.304
2,20180923T173000Z,20180923T191158.125000Z,2018-09-23 19:00:00,44.6393,-124.304
3,20180923T183300Z,20180923T201158.125000Z,2018-09-23 20:00:00,44.6393,-124.304
4,20180924T030300Z,20180924T044458.125000Z,2018-09-24 03:00:00,44.6393,-124.304
5,20180924T030300Z,20180924T044458.125000Z,2018-09-24 04:00:00,44.6393,-124.304
6,20180925T042400Z,20180925T060558.125000Z,2018-09-25 04:00:00,44.6393,-124.304
7,20180925T042400Z,20180925T060558.125000Z,2018-09-25 05:00:00,44.6393,-124.304
8,20180925T042400Z,20180925T060558.125000Z,2018-09-25 06:00:00,44.6393,-124.304
9,20180925T175100Z,20180925T192958.125000Z,2018-09-25 18:00:00,44.6393,-124.304
10,20180925T175100Z,20180925T192958.125000Z,2018-09-25 19:00:00,44.6393,-124.304
11,20180925T183000Z,20180925T200858.125000Z,2018-09-25 20:00:00,44.6393,-124.304
12,20180926T030000Z,20180926T044158.125000Z,2018-09-26 03:00:00,44.6393,-124.304
13,20180926T030000Z,20180926T044158.125000Z,2018-09-26 04:00:00,44.6393,-124.304
14,20180926T173000Z,20180926T191158.125000Z,2018-09-26 17:00:00,44.6393,-124.304
15,20180926T173000Z,20180926T191158.125000Z,2018-09-26 18:00:00,44.6393,-124.304
16,20180926T173000Z,20180926T191158.125000Z,2018-09-26 19:00:00,44.6393,-124.304
17,20180927T042100Z,20180927T060258.125000Z,2018-09-27 04:00:00,44.6393,-124.304
18,20180927T042100Z,20180927T060258.125000Z,2018-09-27 05:00:00,44.6393,-124.304
19,20180927T042100Z,20180927T060258.125000Z,2018-09-27 06:00:00,44.6393,-124.304
20,20180927T185100Z,20180927T202958.125000Z,2018-09-27 19:00:00,44.6393,-124.304
21,20180927T185100Z,20180927T202958.125000Z,2018-09-27 20:00:00,44.6393,-124.304
22,20180928T032100Z,20180928T050258.125000Z,2018-09-28 03:00:00,44.6393,-124.304
23,20180928T032100Z,20180928T050258.125000Z,2018-09-28 05:00:00,44.6393,-124.304
24,20180928T172700Z,20180928T190858.125000Z,2018-09-28 17:00:00,44.6393,-124.304
25,20180928T172700Z,20180928T190858.125000Z,2018-09-28 18:00:00,44.6393,-124.304
26,20180928T183000Z,20180928T200858.125000Z,2018-09-28 20:00:00,44.6393,-124.304
27,20180929T030000Z,20180929T044158.125000Z,2018-09-29 04:00:00,44.6393,-124.304
28,20180930T031800Z,20180930T045958.125000Z,2018-09-30 03:00:00,44.6393,-124.304
29,20180930T031800Z,20180930T045958.125000Z,2018-09-30 04:00:00,44.6393,-124.304
30,20180930T031800Z,20180930T045958.125000Z,2018-09-30 05:00:00,44.6393,-124.304
31,20180930T042100Z,20180930T060258.125000Z,2018-09-30 06:00:00,44.6393,-124.304
32,20180930T174800Z,20180930T192658.125000Z,2018-09-30 18:00:00,44.6393,-124.304
33,20180930T174800Z,20180930T192658.125000Z,2018-09-30 19:00:00,44.6393,-124.304
34,20180930T182700Z,20180930T200558.125000Z,2018-09-30 20:00:00,44.6393,-124.304
35,20181001T025700Z,20181001T043858.125000Z,2018-10-01 03:00:00,44.6393,-124.304
36,20181001T025700Z,20181001T043858.125000Z,2018-10-01 04:00:00,44.6393,-124.304
37,20181001T172700Z,20181001T190558.125000Z,2018-10-01 17:00:00,44.6393,-124.304
38,20181001T172700Z,20181001T190558.125000Z,2018-10-01 18:00:00,44.6393,-124.304
39,20181001T172700Z,20181001T190558.125000Z,2018-10-01 19:00:00,44.6393,-124.304
40,20181002T041800Z,20181002T055958.125000Z,2018-10-02 04:00:00,44.6393,-124.304
41,20181002T041800Z,20181002T055958.125000Z,2018-10-02 05:00:00,44.6393,-124.304
42,20181002T041800Z,20181002T055958.125000Z,2018-10-02 06:00:00,44.6393,-124.304
43,20181002T184500Z,20181002T202658.125000Z,2018-10-02 19:00:00,44.6393,-124.304
44,20181002T184500Z,20181002T202658.125000Z,2018-10-02 20:00:00,44.6393,-124.304
45,20181003T031800Z,20181003T045958.125000Z,2018-10-03 03:00:00,44.6393,-124.304
46,20181003T031800Z,20181003T045958.125000Z,2018-10-03 04:00:00,44.6393,-124.304
47,20181003T031800Z,20181003T045958.125000Z,2018-10-03 05:00:00,44.6393,-124.304
48,20181003T172400Z,20181003T190258.125000Z,2018-10-03 17:00:00,44.6393,-124.304
49,20181003T172400Z,20181003T190258.125000Z,2018-10-03 18:00:00,44.6393,-124.304
50,20181003T172400Z,20181003T190258.125000Z,2018-10-03 19:00:00,44.6393,-124.304
51,20181004T184200Z,20181004T202358.125000Z,2018-10-04 19:00:00,44.6393,-124.304
52,20181004T184200Z,20181004T202358.125000Z,2018-10-04 20:00:00,44.6393,-124.304
53,20181005T031200Z,20181005T045658.125000Z,2018-10-05 03:00:00,44.6393,-124.304
54,20181005T031200Z,20181005T045658.125000Z,2018-10-05 04:00:00,44.6393,-124.304
55,20181006T172400Z,20181006T190258.125000Z,2018-10-06 17:00:00,44.6393,-124.304
56,20181006T172400Z,20181006T190258.125000Z,2018-10-06 18:00:00,44.6393,-124.304
57,20181006T172400Z,20181006T190258.125000Z,2018-10-06 19:00:00,44.6393,-124.304
58,20181007T041500Z,20181007T055658.125000Z,2018-10-07 04:00:00,44.6393,-124.304
59,20181007T041500Z,20181007T055658.125000Z,2018-10-07 05:00:00,44.6393,-124.304
60,20181007T041500Z,20181007T055658.125000Z,2018-10-07 06:00:00,44.6393,-124.304
61,20181007T173900Z,20181007T192058.125000Z,2018-10-07 18:00:00,44.6393,-124.304
62,20181007T173900Z,20181007T192058.125000Z,2018-10-07 19:00:00,44.6393,-124.304
63,20181007T184200Z,20181007T202358.125000Z,2018-10-07 20:00:00,44.6393,-124.304
64,20181008T172100Z,20181008T185958.125000Z,2018-10-08 18:00:00,44.6393,-124.304
65,20181008T172100Z,20181008T185958.125000Z,2018-10-08 19:00:00,44.6393,-124.304
66,20181009T183900Z,20181009T202058.125000Z,2018-10-09 19:00:00,44.6393,-124.304
67,20181009T183900Z,20181009T202058.125000Z,2018-10-09 20:00:00,44.6393,-124.304
68,20181010T030900Z,20181010T045358.125000Z,2018-10-10 03:00:00,44.6393,-124.304
69,20181010T030900Z,20181010T045358.125000Z,2018-10-10 04:00:00,44.6393,-124.304
70,20181011T024800Z,20181011T042958.125000Z,2018-10-11 03:00:00,44.6393,-124.304
71,20181011T024800Z,20181011T042958.125000Z,2018-10-11 04:00:00,44.6393,-124.304
72,20181012T040900Z,20181012T055058.125000Z,2018-10-12 04:00:00,44.6393,-124.304
73,20181012T040900Z,20181012T055058.125000Z,2018-10-12 05:00:00,44.6393,-124.304
74,20181012T040900Z,20181012T055058.125000Z,2018-10-12 06:00:00,44.6393,-124.304
75,20181012T183900Z,20181012T202058.125000Z,2018-10-12 19:00:00,44.6393,-124.304
76,20181012T183900Z,20181012T202058.125000Z,2018-10-12 20:00:00,44.6393,-124.304
77,20181013T030900Z,20181013T045058.125000Z,2018-10-13 03:00:00,44.6393,-124.304
78,20181013T171500Z,20181013T185658.125000Z,2018-10-13 17:00:00,44.6393,-124.304
79,20181013T171500Z,20181013T185658.125000Z,2018-10-13 18:00:00,44.6393,-124.304
80,20181013T171500Z,20181013T185658.125000Z,2018-10-13 19:00:00,44.6393,-124.304
81,20181014T043000Z,20181014T061158.125000Z,2018-10-14 05:00:00,44.6393,-124.304
82,20181014T043000Z,20181014T061158.125000Z,2018-10-14 06:00:00,44.6393,-124.304
83,20181014T183600Z,20181014T201458.125000Z,2018-10-14 19:00:00,44.6393,-124.304
84,20181014T183600Z,20181014T201458.125000Z,2018-10-14 20:00:00,44.6393,-124.304
85,20181015T030600Z,20181015T044758.125000Z,2018-10-15 04:00:00,44.6393,-124.304
86,20181015T040900Z,20181015T055058.125000Z,2018-10-15 05:00:00,44.6393,-124.304
87,20181015T040900Z,20181015T055058.125000Z,2018-10-15 06:00:00,44.6393,-124.304
88,20181015T173600Z,20181015T191758.125000Z,2018-10-15 18:00:00,44.6393,-124.304
89,20181015T173600Z,20181015T191758.125000Z,2018-10-15 19:00:00,44.6393,-124.304
90,20181016T185700Z,20181016T203558.125000Z,2018-10-16 19:00:00,44.6393,-124.304
91,20181016T185700Z,20181016T203558.125000Z,2018-10-16 20:00:00,44.6393,-124.304
92,20181017T032700Z,20181017T050858.125000Z,2018-10-17 03:00:00,44.6393,-124.304
93,20181017T032700Z,20181017T050858.125000Z,2018-10-17 04:00:00,44.6393,-124.304
94,20181017T032700Z,20181017T050858.125000Z,2018-10-17 05:00:00,44.6393,-124.304
95,20181017T173300Z,20181017T191458.125000Z,2018-10-17 18:00:00,44.6393,-124.304
96,20181017T173300Z,20181017T191458.125000Z,2018-10-17 19:00:00,44.6393,-124.304
97,20181017T183600Z,20181017T201458.125000Z,2018-10-17 20:00:00,44.6393,-124.304
98,20181018T030600Z,20181018T044758.125000Z,2018-10-18 03:00:00,44.6393,-124.304
